age,gender,year,loc,deaths,nb_c,orphans
45-49,Male,2004,25,267.1245,1.282820826991204,343
50-54,Male,2004,25,284.3185,0.7957131553870095,226
50-66,Female,2004,25,841.717,0.13193648948903317,111
55-59,Male,2004,25,313.27,0.4456171358246317,140
60-76,Male,2004,25,1948.0565,0.10712726689839865,209
10-14,Female,2004,27,8.971,0.013197572695726138,0
10-14,Male,2004,27,13.002,4.3339872921290446e-4,0
15-19,Female,2004,27,16.915499999999998,0.37700735733638224,6
15-19,Male,2004,27,52.591,0.09482654760214046,5
20-24,Female,2004,27,17.1075,1.1025050247403203,19
20-24,Male,2004,27,78.214,0.567591812707563,44
25-29,Female,2004,27,14.857000000000001,1.742472381015554,26
25-29,Male,2004,27,62.5685,1.2421269542591977,78
30-34,Female,2004,27,13.3675,2.108902545389721,28
30-34,Male,2004,27,46.9515,1.8025906777901979,85
35-39,Female,2004,27,15.1575,1.9175304959753765,29
35-39,Male,2004,27,39.0745,2.0456700640887964,80
40-44,Female,2004,27,21.213,1.3176813050738492,28
40-44,Male,2004,27,39.939,1.7651316210632735,70
45-49,Female,2004,27,26.164,0.7269809848717392,19
45-49,Male,2004,27,40.557,1.2537739809042452,51
50-54,Male,2004,27,42.318,0.7712950176302217,33
50-66,Female,2004,27,125.1765,0.12341057055789331,15
55-59,Male,2004,27,41.8195,0.4283169099841883,18
60-76,Male,2004,27,232.0205,0.10014567710156597,23
10-14,Female,2004,41,16.658,0.012263062666737882,0
10-14,Male,2004,41,24.9015,4.0813957420143154e-4,0
15-19,Female,2004,41,30.8775,0.35057498169403123,11
15-19,Male,2004,41,98.0415,0.0883025226792296,9
20-24,Female,2004,41,34.698,1.0632053563172101,37
20-24,Male,2004,41,164.2205,0.5376771600280557,88
25-29,Female,2004,41,31.136499999999998,1.7752964874869654,55
25-29,Male,2004,41,142.1,1.2237718199561347,174
30-34,Female,2004,41,31.5955,2.24183107106884,71
30-34,Male,2004,41,120.715,1.8625242411344667,225
35-39,Female,2004,41,38.777499999999996,2.080226048819464,81
35-39,Male,2004,41,116.511,2.1826331143588775,254
40-44,Female,2004,41,51.943999999999996,1.4517163168037925,75
40-44,Male,2004,41,114.07900000000001,1.9158653915689046,219
