Municipality,2015,2016,2017,2018,2019,2020,2021
5138 Cañasgordas,17.97823215128111,16.268239037642356,14.827474914125979,14.760612504654478,15.158004601402174,26.209807770970286,31.172378374040907
5142 Caracolí,1.794108474227548,1.764521392918886,1.9375746618937766,1.7112355452272194,1.6346993727544716,2.3367973162807125,4.49584210472984
5145 Caramanta,1.9087533006430903,1.8958432235999638,1.8449449166403329,1.791034061439915,1.7503960659175704,3.694411215841669,5.358265737964141
5147 Carepa,65.41994337333873,64.03039942037182,66.87828818024126,73.06611663293894,69.00180950577071,112.88962546655442,106.41016911637104
5148 El Carmen De Viboral,67.86543026215394,65.72995686313757,64.88650012440732,65.6910546913684,66.6413005420004,80.81650989188859,104.42411521347096
5150 Carolina,1.5991174959133476,1.5127538956885054,1.4855620215645517,1.4543789411293828,1.39899394094871,1.6391490601981245,3.1139576078753746
5154 Caucasia,147.75717428970128,135.41181357230838,165.696220076575,214.2451350719758,213.26282957743933,252.705791456292,272.49138480976035
5172 Chigorodó,100.54777867831417,104.50712186714445,96.3532014126804,135.5272789850298,93.34372124498002,120.37465043364104,163.03945734726608
5190 Cisneros,13.565730118070247,13.844009473506592,10.90273294021512,11.527353110386205,12.893470401922873,12.758587496785939,16.266606134390557
5197 Cocorná,18.110883050177677,16.510142889390746,16.086625701474617,15.814856449107804,15.484153370462911,25.504976476459696,30.676624771966285
5206 Concepción,2.854976401079972,1.6768064670746652,1.5384562719789496,1.654928840706018,1.5717753928915092,3.3319003960868825,5.176932794183729
5209 Concordia,34.787417690494564,31.233273056926567,28.10384831471936,30.929732815881906,30.525291016461786,43.27828441112173,49.77989847804328
5212 Copacabana,89.45321572668809,85.76063209438504,84.72887525027244,84.19993243200213,84.10135985588828,103.12083215348943,138.63172272253067
5234 Dabeiba,30.673227538832027,25.400824197542885,31.4630191632087,37.84387566530699,27.071969342779536,46.68299807657904,55.98447872334497
5237 Donmatías,18.746936061926952,18.304281083929048,18.7993702091597,18.234798163765234,17.783205709355027,25.654122178561344,31.050713417459093
5240 Ebéjico,15.659557488251036,14.412777588008609,14.215379401411802,14.31070752684184,13.767806478894503,19.00355031527709,21.93058791610547
5250 El Bagre,86.46045450142049,87.77534876806428,73.48482113794984,103.28922373447519,79.51547629910334,116.79768097040613,131.15455739030014
5264 Entrerríos,10.997238592183605,10.25421287899014,10.018250668608811,9.828213076378603,10.359175080794435,13.026292056927034,18.535733232356627
5266 Envigado,264.36136589523915,256.64678012001644,252.9505748894625,246.90638775453994,255.6555059401221,295.5185392913492,411.13171368279467
5282 Fredonia,33.44213164729018,30.85694663023135,30.673984969438074,32.38067248994114,30.09980871540579,38.82901728948025,49.47262545663316
5284 Frontino,25.514905424430662,21.48044521938211,22.7184339239263,28.77778588976178,26.787745214959525,37.37202889544428,39.987729789908315
5306 Giraldo,1.4639916871341145,1.402083893145904,1.5628050048265645,5.02333176189709,1.553244352586224,4.4534161232809595,9.115251912289272
5308 Girardota,58.30719776311891,55.05839242581665,56.184289020798076,54.46408520253366,58.29867112965595,66.47951946339114,90.7344901988988
5310 Gómez Plata,13.226052124412174,12.62570134947349,11.093892988970882,12.155238491461166,11.385008890345194,13.010531183606668,18.463808424927308
5313 Granada,13.559395804411938,12.028785680467161,11.184227241815256,10.5161198381009,10.265890169019686,12.469517750095118,15.29191103145343
5315 Guadalupe,3.545021561024893,3.5554436527248674,3.0643300600247665,3.2675787867074546,2.188501578812816,10.474234766218169,11.139527307076936
5318 Guarne,62.74294552751626,58.53680877817033,59.38954966165311,61.228402497098315,63.49222790918574,77.83242987128145,99.62676531606095
5321 Guatapé,5.2650181258720075,5.469945438102409,3.811099467932753,6.791471373789278,5.214107693163124,8.207509673448756,10.683339169996218
5347 Heliconia,3.6167849570881665,3.783368219888585,3.1415556152889983,3.5555703580308227,1.9050848085092635,5.82818742131714,8.710977849614817
5353 Hispania,1.7447135419468243,1.7971906933931316,1.6854908008912073,3.5584089405477775,1.7150639505073346,3.531532837877834,7.213885790499652
5360 Itagüí,321.1027662408827,309.5264460670914,305.0119182280521,304.8880444394591,311.1479597263647,363.5462819746874,493.20962417614936
5361 Ituango,54.67820839704737,50.439797814807434,50.12849422114234,58.73489460204626,54.78176637211695,78.37534528430896,87.69184458229783
5364 Jardín,16.39437398253653,14.188130181432816,14.10514712253475,18.281549405781554,14.698794252794796,19.88058416832517,26.811941525085544
5368 Jericó,14.277490604096243,13.041574331100854,12.858439592805723,12.442326810070146,12.222175903561768,16.639438668307157,23.649238536160738
5376 La Ceja,72.29778337975932,69.22553578551353,67.50052213696819,69.14096330779749,71.35340609293263,82.05043323722518,111.6977311926805
5380 La Estrella,82.994646111046535,78.67811607329216,76.49810346720841,77.9587928150982,78.0006176647397,94.76159296457558,127.28686083012991
5390 La Pintada,10.343194181651542,13.798356812100995,10.84309965323579,10.64909379481355,11.32764168057446,10.321000200948497,15.565975652640342
5400 La Unión,27.13791636934992,24.660126777894387,22.630960091172053,23.940769608139785,23.64464788063249,30.310072074264173,39.78849671831195
5411 Liborina,13.548123754805626,12.622060132504135,13.583230254494746,12.390477254858189,12.13128356362505,17.116247124621772,19.63287347830985
5425 Maceo,12.832186867864362,5.47107491741329,7.169171976731597,6.956246473162425,12.862621251333662,12.425679166355721,14.436613431741476
5440 Marinilla,68.99381892874219,67.77000838602922,66.61483100370762,67.95685288784782,69.34532218770276,83.31550273769832,108.57482126696675
5467 Montebello,5.046100079710676,4.5623829149225,4.371465913855423,4.328978249263571,4.18294585404227,8.83883707258359,12.805921932900072
5475 Murindó,0,0,0,0,0,1.411540503950959,4.080484079939574
5480 Mutatá,26.030873367007008,47.415485068274535,33.80261740902219,61.73187274352234,63.27605282237839,54.59909924968488,69.94493286342701
5483 Nariño,14.49092728146766,13.592039591917684,12.626550744693102,12.596089977910065,12.316271905456365,15.806885454845785,20.419801138237748
5490 Necoclí,61.08865681470248,58.60185934505819,58.760389013058294,68.15983162997371,67.16540075428736,94.32427986496047,108.95575978170854
5495 Nechí,36.17696258119769,35.36649873238299,35.22734077255363,40.55426134140087,39.32324904348021,54.55659114931565,59.64313907500921
5501 Olaya,0.7308673931254925,0.32436808300256237,0.7947982180535469,0.697932275240194,0.3038347129945183,1.5919377817737417,2.8898159038116566
