Municipality,2015,2016,2017,2018,2019,2020,2021
15455 Miraflores,12,12,11,11,11,11,18
15464 Mongua,6,5,6,7,5,9,11
15466 Monguí,4,3,5,1,2,6,8
15469 Moniquirá,35,32,31,28,28,38,44
15476 Motavita,7,7,8,7,7,12,14
15480 Muzo,15,15,14,15,12,19,22
15491 Nobsa,19,17,18,17,17,18,25
15494 Nuevo Colón,6,6,6,7,6,10,13
15500 Oicatá,0,0,0,0,0,0,2
15507 Otanche,13,13,11,14,13,17,20
15511 Pachavita,1,1,1,1,1,3,5
15514 Páez,4,3,1,2,2,6,7
15516 Paipa,40,40,38,39,38,47,59
15518 Pajarito,0,0,0,0,0,0,2
15522 Panqueba,0,0,0,0,0,0,1
15531 Pauna,12,11,10,13,12,16,18
15533 Paya,4,3,4,4,3,5,6
15537 Paz De Río,5,3,5,2,1,4,7
15542 Pesca,8,8,8,8,7,11,14
15550 Pisba,0,0,0,0,0,1,3
15572 Puerto Boyacá,91,75,75,75,80,91,109
15580 Quípama,8,7,7,8,8,15,16
15599 Ramiriquí,14,16,13,14,13,17,20
15600 Ráquira,8,8,8,8,8,14,17
15621 Rondón,0,0,0,0,0,1,3
15632 Saboyá,20,20,20,20,21,26,29
15638 Sáchica,5,5,5,5,5,7,9
15646 Samacá,28,28,24,27,25,30,43
15660 San Eduardo,0,0,0,0,0,0,0
15664 San José De Pare,7,7,7,7,7,8,12
15667 San Luis De Gaceno,7,7,6,7,6,7,10
15673 San Mateo,3,3,2,3,1,4,6
15676 San Miguel De Sema,1,0,5,1,0,3,5
15681 San Pablo De Borbur,10,9,10,10,10,17,19
15686 Santana,13,16,10,12,16,17,18
15690 Santa María,6,4,2,3,1,5,7
15693 Santa Rosa De Viterbo,17,17,16,17,16,19,23
15696 Santa Sofía,4,0,0,0,0,3,5
15720 Sativanorte,1,1,0,0,4,4,5
15723 Sativasur,0,0,0,0,0,0,2
15740 Siachoque,8,8,9,8,8,15,16
15753 Soatá,11,10,10,10,8,11,17
15755 Socotá,14,10,9,10,9,17,19
15757 Socha,7,8,7,7,10,13,16
15759 Sogamoso,162,154,148,143,142,168,222
15761 Somondoco,3,2,1,2,1,5,6
15762 Sora,3,3,2,2,2,6,6
15763 Sotaquirá,11,10,11,10,9,14,18
15764 Soracá,7,7,7,7,7,11,14
15774 Susacón,1,0,0,2,0,4,5
15776 Sutamarchán,7,6,6,6,6,9,13
15778 Sutatenza,6,5,5,6,5,8,8
15790 Tasco,6,6,6,6,6,7,10
15798 Tenza,5,4,3,5,4,7,7
15804 Tibaná,12,12,13,13,12,18,19
15806 Tibasosa,15,14,14,14,14,16,21
15808 Tinjacá,1,0,0,1,0,5,5
15810 Tipacoque,3,3,2,5,2,5,6
15814 Toca,12,10,11,10,10,15,19
15816 Togüí,7,6,6,7,6,8,9
15820 Tópaga,1,2,7,1,1,3,8
15822 Tota,6,6,6,6,6,10,12
15832 Tununguá,0,0,0,0,0,0,3
15835 Turmequé,8,8,8,9,8,11,16
15837 Tuta,9,8,9,9,9,13,16
15839 Tutazá,0,0,0,0,0,0,1
15842 Úmbita,13,10,10,11,12,17,18
15861 Ventaquemada,22,20,19,20,19,24,27
15879 Viracachá,3,4,1,1,0,5,5
15897 Zetaquira,6,7,6,6,6,9,10
17001 Manizales,518,497,484,481,483,572,749
17013 Aguadas,33,32,32,31,30,37,46
17042 Anserma,53,51,50,50,50,63,76
17050 Aranzazu,18,17,13,13,18,18,19
17088 Belalcázar,18,18,14,16,14,19,23
17174 Chinchiná,76,80,73,78,71,76,99
17272 Filadelfia,18,18,17,18,17,20,24
17380 La Dorada,123,109,100,104,98,118,159
17388 La Merced,9,9,7,8,7,10,14
17433 Manzanares,29,27,26,26,25,35,40
17442 Marmato,17,19,11,12,12,17,20
17444 Marquetalia,21,20,20,21,19,25,28
17446 Marulanda,0,0,0,0,0,3,5
17486 Neira,30,30,30,30,29,37,42
17495 Norcasia,7,8,7,7,7,10,16
17513 Pácora,22,22,21,21,21,28,33
17524 Palestina,27,22,21,26,21,26,43
17541 Pensilvania,31,29,28,29,27,37,40
17614 Riosucio,69,68,64,66,65,84,101
17616 Risaralda,19,19,18,18,17,22,26
17653 Salamina,30,29,27,25,25,32,39
17662 Samaná,33,31,29,30,28,38,45
17665 San José,8,7,7,6,6,9,8
17777 Supía,40,39,38,43,38,46,57
17867 Victoria,15,14,13,14,13,18,21
17873 Villamaría,78,75,75,75,74,91,117
17877 Viterbo,19,17,20,17,15,19,25
18001 Florencia,261,277,249,253,279,387,380
18029 Albania,7,6,4,4,7,9,7
18094 Belén De Los Andaquíes,19,18,17,17,17,20,23
18150 Cartagena Del Chairá,46,51,54,58,50,69,79
18205 Curillo,16,12,16,20,12,17,19
18247 El Doncello,30,25,29,26,25,36,38
18256 El Paujíl,25,25,24,25,24,33,38
18410 La Montañita,24,24,24,24,23,31,35
18460 Milán,15,15,15,16,15,22,22
18479 Morelia,4,4,4,4,4,6,9
18592 Puerto Rico,42,40,40,40,38,53,58
18610 San José Del Fragua,23,25,19,20,23,24,35
18753 San Vicente Del Caguán,98,84,82,91,88,110,124
18756 Solano,18,18,18,21,19,26,27
18785 Solita,10,8,8,11,8,13,15
18860 Valparaíso,10,10,10,10,10,14,17
19001 Popayán,387,369,367,372,371,452,584
19022 Almaguer,36,34,34,37,34,48,51
19050 Argelia,45,44,43,46,48,61,71
19075 Balboa,35,31,30,35,34,42,50
19100 Bolívar,69,67,64,66,63,86,97
19110 Buenos Aires,42,41,42,45,44,58,71
19130 Cajibío,70,68,68,73,71,96,105
19137 Caldono,57,56,56,65,59,81,91
19142 Caloto,38,38,38,40,46,53,61
19212 Corinto,61,50,50,54,51,57,60
19256 El Tambo,84,84,79,87,82,110,130
19290 Florencia,7,7,6,7,7,8,10
19300 Guachené,11,11,12,13,15,18,25
19318 Guapi,42,39,39,44,43,59,64
19355 Inzá,45,44,42,48,45,62,70
