loc,year,orphans,children,orphan_rate
97,2007,36,15539.98820058997,232
99,2007,49,40346.57789599392,122
5,2008,8040,1842422.1374788885,437
8,2008,2227,763970.3458423158,292
11,2008,7051,2184265.2523937975,323
13,2008,1394,690111.6869778536,202
15,2008,1342,370884.495467741,362
17,2008,1148,289478.12092786405,397
18,2008,585,159770.25673835402,367
19,2008,1274,478460.1818471805,267
20,2008,1109,401963.7873993307,276
23,2008,1122,581981.3783659517,193
25,2008,2074,684603.8078778235,303
27,2008,241,191636.3664861102,126
41,2008,1547,360990.52934894187,429
44,2008,467,310447.1810237346,151
47,2008,1180,446943.19232954097,265
50,2008,1372,311054.49861560843,442
52,2008,1225,521940.0561229352,235
54,2008,1736,466962.55002727406,372
63,2008,786,147192.12883182446,534
66,2008,1526,268121.1779599994,570
68,2008,2211,625095.4683443386,354
70,2008,544,297862.33726912685,183
73,2008,1791,433148.77400368673,414
76,2008,5635,1364745.0096370126,413
81,2008,573,91192.92067368422,629
85,2008,299,135724.3991943219,221
86,2008,311,116328.58120579747,268
88,2008,32,19707.391591096457,163
91,2008,85,29295.909165590892,291
94,2008,21,17549.41176470588,120
95,2008,128,31397.768384551,408
97,2008,25,16396.68377581121,153
99,2008,37,41475.85821300619,90
5,2009,9186,1828016.6277445029,503
8,2009,2325,765373.9528080393,304
11,2009,7036,2153223.806011081,327
13,2009,1477,690307.6121731462,214
15,2009,1266,367692.21778541384,345
17,2009,1067,282913.9952963563,378
18,2009,545,158971.89781340733,343
19,2009,1284,476071.3949117619,270
20,2009,1103,404205.01231015334,273
23,2009,1421,582330.0907982328,245
25,2009,2170,689392.4167701837,315
27,2009,259,194574.26406926406,134
41,2009,1568,361251.33819976565,435
44,2009,568,315756.98750929366,180
47,2009,1240,450681.3209095356,276
50,2009,1313,313677.3390116852,419
52,2009,1289,516949.2810594028,250
54,2009,1780,466065.03281154437,382
63,2009,804,144190.58869930342,558
66,2009,1399,264134.35899131506,530
68,2009,2043,622185.3171225999,329
70,2009,670,297966.3535181552,225
73,2009,1754,427437.2327335336,411
76,2009,5710,1355798.5837457054,422
81,2009,521,90586.50871578947,576
85,2009,344,136288.38798607877,253
86,2009,314,117297.87869081221,268
88,2009,45,19239.217917010166,234
91,2009,84,29752.391620701794,283
94,2009,23,18232.254901960783,127
95,2009,147,31221.277053688867,471
97,2009,46,17251.001179941002,267
99,2009,34,42576.03083270003,80
5,2010,8510,1812040.757254153,470
8,2010,2141,766103.7704835387,280
11,2010,6968,2116858.1565141343,330
13,2010,1366,689916.051674825,198
15,2010,1339,364656.8871378636,368
17,2010,1039,276531.230907361,376
18,2010,567,158093.70808602482,359
19,2010,1236,473414.90114058607,262
20,2010,1025,406383.67489795166,253
23,2010,1363,582393.6027227475,235
25,2010,2340,695337.3802975476,337
27,2010,225,197452.91250625422,114
41,2010,1492,361471.0765115146,413
44,2010,584,321053.99792965397,182
47,2010,1136,454003.2689867925,251
50,2010,1273,315962.19142146513,403
52,2010,1352,511725.6109196315,265
54,2010,1672,464600.01672810223,360
63,2010,750,141227.56095725833,532
66,2010,1263,260183.01689958706,486
68,2010,2051,618791.9520494173,332
70,2010,592,297951.2425139727,199
73,2010,1722,421566.7818169909,409
76,2010,5688,1346707.1050940875,423
81,2010,442,89982.53035789474,492
85,2010,336,136793.2229590858,246
86,2010,343,118164.52424598014,291
88,2010,63,18786.01483924155,336
91,2010,71,30220.97335993428,235
94,2010,32,18909.607843137255,170
95,2010,137,31116.89333971063,441
97,2010,33,18109.402359882006,183
99,2010,27,43603.41797850396,62
5,2011,7573,1794454.7987230765,423
8,2011,1792,766021.8798571134,234
11,2011,6645,2075096.9207675988,321
13,2011,1415,688961.888793425,206
15,2011,1237,361723.09861366195,342
17,2011,990,270385.8291813516,367
18,2011,545,157115.31832780904,347
19,2011,1186,470438.59811367927,253
20,2011,1074,408434.7968410988,263
23,2011,1382,582191.2567152443,238
25,2011,2130,702346.922098371,304
27,2011,281,200254.07309273642,141
41,2011,1425,361656.4496230934,395
44,2011,584,326155.621309694,180
47,2011,1242,456791.8458807379,272
50,2011,1359,317864.9633957483,428
52,2011,1218,506244.4486658196,241
54,2011,1626,462437.2923120155,352
63,2011,717,138266.38411689037,519
66,2011,1160,256190.01861893636,453
68,2011,1809,614848.536506101,295
70,2011,554,297779.1398748936,187
73,2011,1717,415509.39202200825,414
76,2011,5763,1337074.1597104897,432
81,2011,397,89353.64109473684,445
85,2011,361,137190.68732016115,264
86,2011,383,118868.99153214297,323
88,2011,59,18354.15636163781,322
91,2011,64,30700.811876540312,209
94,2011,24,19541.745098039217,123
95,2011,85,31024.963171110845,274
97,2011,42,18926.0802359882,222
99,2011,28,44572.56323960482,63
5,2012,7051,1775592.7069895817,398
8,2012,2156,765269.7495402757,282
11,2012,6246,2028776.1494384632,308
13,2012,1403,687475.0100839956,205
15,2012,1230,358795.35019847145,343
17,2012,902,264421.6417860445,342
18,2012,565,156030.04136796936,363
19,2012,1163,467027.04185597406,250
20,2012,1040,410473.4513018056,254
23,2012,1239,581750.8004851101,213
25,2012,2173,710368.0787034536,306
27,2012,284,202928.31788814202,140
41,2012,1427,361777.2950447415,395
44,2012,540,330962.9386445525,164
47,2012,1242,459047.7939579947,271
50,2012,1292,319411.0567835187,405
52,2012,1110,500452.4451000636,222
54,2012,1650,459752.7880060168,359
63,2012,726,135242.10701196574,537
66,2012,1129,251996.02263075137,449
68,2012,1868,610472.0249033868,306
70,2012,689,297463.4259910427,232
73,2012,1709,409235.6019612797,418
76,2012,5394,1326152.5456408514,407
81,2012,407,88751.8854736842,459
85,2012,355,137482.53640623717,259
86,2012,371,119330.46046747646,311
88,2012,51,17968.623797746633,284
91,2012,76,31154.553104095765,244
94,2012,33,20133.774509803923,164
95,2012,113,30987.338514887004,365
97,2012,38,19697.253097345132,193
99,2012,28,45458.75550971664,62
5,2013,6347,1756385.4123985542,362
8,2013,2281,764073.9673943834,299
11,2013,5933,1979678.0738230757,300
13,2013,1374,685638.7594198311,201
15,2013,1183,355895.3381124474,333
17,2013,876,258752.33941278158,339
18,2013,587,154820.44646573655,380
19,2013,1073,463227.25421361637,232
20,2013,1152,412591.1152410547,280
23,2013,1258,581152.0869200168,217
25,2013,2325,719666.0672244818,324
27,2013,249,205453.62346363853,122
41,2013,1517,361911.225169271,420
44,2013,549,335458.3129653989,164
47,2013,1297,460860.6081296451,282
50,2013,1230,320652.98869022477,384
52,2013,1094,494371.25102445995,222
54,2013,1647,456817.6439823462,361
63,2013,668,132234.64122230044,506
66,2013,1104,247705.7696512807,446
68,2013,1860,605895.0249033868,307
70,2013,736,297034.9689454788,248
73,2013,1603,402780.3691154591,398
76,2013,5313,1314109.8640088239,405
81,2013,426,88242.48538947369,483
85,2013,361,137676.57441560933,263
86,2013,366,119564.35038533507,307
88,2013,49,17610.720802418247,279
91,2013,92,31611.646403004343,292
94,2013,30,20654.235294117647,146
95,2013,124,30957.639842161905,401
97,2013,44,20398.84483775811,216
99,2013,33,46234.075127564865,72
5,2014,5931,1737567.3379133553,342
8,2014,2345,762476.4533241788,308
11,2014,5927,1928584.4425731546,308
13,2014,1570,683509.65570842335,230
15,2014,1138,353071.81998341135,323
17,2014,822,253566.4437103842,325
18,2014,538,153549.66694930498,351
19,2014,1102,459287.67540282605,240
20,2014,1079,414750.88622071856,261
23,2014,1185,580517.290173187,205
25,2014,2187,730591.2335428603,300
27,2014,264,207818.1504057082,128
41,2014,1366,362136.12397996744,378
44,2014,514,339573.2782613669,152
47,2014,1197,462134.5287740836,260
50,2014,1181,321653.35510817025,368
52,2014,1078,488360.67990787805,221
54,2014,1482,453561.2852868737,327
63,2014,650,129426.16951044877,503
66,2014,999,243691.58406442415,410
68,2014,1868,601150.8610595502,311
70,2014,699,296512.03627345746,236
73,2014,1558,396244.49268730875,394
76,2014,4719,1302005.1100758766,363
81,2014,445,87801.22997894736,507
85,2014,398,137816.55668521006,289
86,2014,379,119653.2894611652,317
88,2014,45,17299.239901071724,261
91,2014,84,32048.317451003404,263
94,2014,37,21166.91176470588,175
95,2014,96,30962.592610307307,311
97,2014,39,21018.182890855456,186
99,2014,38,46926.89132558897,81
5,2015,5969,1720130.7524240685,348
8,2015,2481,760991.0345837515,327
11,2015,6034,1876969.430205126,322
13,2015,1670,681416.1954395921,246
15,2015,1137,350431.80425380653,325
17,2015,784,248991.69776074402,315
18,2015,538,152193.09769007427,354
19,2015,1138,455424.91829679377,250
20,2015,1168,417104.12061008345,281
