age,gender,year,loc,deaths,nb_c,orphans
35-39,Female,2004,25,70,1.5673969464750976,110
35-39,Male,2004,25,194,1.6640967882130115,323
40-44,Female,2004,25,84,1.0472643082016284,88
40-44,Male,2004,25,209,1.380303909527717,288
45-49,Female,2004,25,141,0.5613898915554008,79
45-49,Male,2004,25,228,0.9293659528845695,212
50-54,Male,2004,25,218,0.5564374711260442,121
50-66,Female,2004,25,701,0.09664360336677967,68
55-59,Male,2004,25,266,0.3062590403528156,81
60-76,Male,2004,25,1725,0.07508847087841883,130
10-14,Female,2004,27,7,0.00643779606027757,0
10-14,Male,2004,27,7,2.5317966334319073e-4,0
15-19,Female,2004,27,15,0.16492108141186107,2
15-19,Male,2004,27,43,0.04093543067702066,2
20-24,Female,2004,27,19,0.4719251945070754,9
20-24,Male,2004,27,42,0.2592391942557012,11
25-29,Female,2004,27,15,0.7269785986773739,11
25-29,Male,2004,27,31,0.5486964140801679,17
30-34,Female,2004,27,18,0.9153795861455946,16
30-34,Male,2004,27,25,0.8285452814684269,21
35-39,Female,2004,27,12,0.8933942492187222,11
35-39,Male,2004,27,23,1.037153278599085,24
40-44,Female,2004,27,19,0.653192458147821,12
40-44,Male,2004,27,23,0.9744681340507271,22
45-49,Female,2004,27,19,0.3735599611984154,7
45-49,Male,2004,27,28,0.7339679205055137,21
50-54,Male,2004,27,25,0.4813848233770636,12
50-66,Female,2004,27,75,0.07861835702861013,6
55-59,Male,2004,27,27,0.30637144706207786,8
60-76,Male,2004,27,112,0.09051355501247811,10
10-14,Female,2004,41,21,0.011508481681373906,0
10-14,Male,2004,41,23,3.022343945582614e-4,0
15-19,Female,2004,41,34,0.34827877432557586,12
15-19,Male,2004,41,98,0.08262209150796111,8
20-24,Female,2004,41,32,1.039914609134157,33
20-24,Male,2004,41,127,0.508150296172925,65
25-29,Female,2004,41,17,1.7115131178604597,29
25-29,Male,2004,41,117,1.1543647437463818,135
30-34,Female,2004,41,31,2.1620577153768026,67
30-34,Male,2004,41,109,1.7372815020384278,189
35-39,Female,2004,41,42,2.0264641021354195,85
35-39,Male,2004,41,101,2.0277102255659516,205
40-44,Female,2004,41,40,1.4590977649993349,58
40-44,Male,2004,41,91,1.7761979714641587,162
45-49,Female,2004,41,58,0.8551388539804612,50
45-49,Male,2004,41,89,1.2758386937125772,114
50-54,Male,2004,41,109,0.8160802619995589,89
50-66,Female,2004,41,336,0.15765135032693228,53
55-59,Male,2004,41,90,0.4725277393073778,43
60-76,Male,2004,41,649,0.11492129304973181,75
10-14,Female,2004,44,9,0.006188236217771294,0
10-14,Male,2004,44,12,2.4911580520965774e-4,0
15-19,Female,2004,44,19,0.18994693450356795,4
15-19,Male,2004,44,46,0.040352558999734875,2
20-24,Female,2004,44,14,0.6219769976257471,9
20-24,Male,2004,44,92,0.3046980616827157,28
25-29,Female,2004,44,9,1.0959084423320953,10
25-29,Male,2004,44,89,0.7438924066800822,66
30-34,Female,2004,44,19,1.4464129312955383,27
30-34,Male,2004,44,73,1.2325119769126212,90
35-39,Female,2004,44,18,1.4217162655401052,26
35-39,Male,2004,44,60,1.5551187477626744,93
40-44,Female,2004,44,19,1.0444981111676659,20
40-44,Male,2004,44,56,1.4562493496587878,82
45-49,Female,2004,44,25,0.6012892082502911,15
45-49,Male,2004,44,49,1.1287669127823698,55
