age,gender,year,loc,deaths,nb_c,orphans
20-24,Female,2004,11,251,0.8151827925494499,204.61088092991193
20-24,Male,2004,11,1118,0.39808365306271243,445.0575241241125
25-29,Female,2004,11,247,1.4483208543286064,357.7352510191658
25-29,Male,2004,11,1062,0.9554569968859034,1014.6953306928293
30-34,Female,2004,11,246,1.9067773555669294,469.0672294694646
30-34,Male,2004,11,909,1.5349817052657164,1395.2983700865361
35-39,Female,2004,11,312,1.8045029707486804,563.0049268735883
35-39,Male,2004,11,873,1.8592286495772503,1623.1066110809395
40-44,Female,2004,11,416,1.2796144367432456,532.3196056851901
40-44,Male,2004,11,830,1.6631113468425378,1380.3824178793063
45-49,Female,2004,11,518,0.7285164255931856,377.3715084572702
45-49,Male,2004,11,799,1.2037895524978444,961.8278524457777
50-54,Male,2004,11,802,0.7481730910201729,600.0348189981787
50-66,Female,2004,11,2540,0.12623209747946823,320.6295275978493
55-59,Male,2004,11,837.5,0.4185138741703267,350.5053696176486
60-76,Male,2004,11,3761.5,0.10131365547152463,381.0913150561399
10-14,Female,2004,13,20,0.011284901825251296,0.22569803650502593
10-14,Male,2004,13,31,1.653475919744573e-4,0.005125775351208176
15-19,Female,2004,13,44,0.3314607785723919,14.584274257185244
15-19,Male,2004,13,173,0.08327737961137323,14.406986672767568
20-24,Female,2004,13,53,1.0015196635079877,53.08054216592335
20-24,Male,2004,13,296.5,0.5072878231164222,150.41083955401916
25-29,Female,2004,13,49,1.6443964479138506,80.57542594777868
25-29,Male,2004,13,261,1.1464614933522734,299.22644976494337
30-34,Female,2004,13,48,2.0454844178114944,98.18325205495174
30-34,Male,2004,13,225.5,1.7173054600148177,387.2523812333414
35-39,Female,2004,13,60.5,1.8855020443452646,114.07287368288851
35-39,Male,2004,13,213,1.989645721808724,423.7945387452582
40-44,Female,2004,13,84,1.310396592312437,110.07331375424471
40-44,Male,2004,13,202,1.7372187179243481,350.9181810207183
45-49,Female,2004,13,107,0.7292194318719505,78.0264792102987
45-49,Male,2004,13,200,1.2397342875882453,247.94685751764908
50-54,Male,2004,13,212,0.7633049072944311,161.8206403464194
50-66,Female,2004,13,609,0.12274395366015821,74.75106777903635
55-59,Male,2004,13,227,0.4225210446297958,95.91227713096364
60-76,Male,2004,13,1288.5,0.09882174043041984,127.33181254459596
10-14,Female,2004,15,6,0.00970930436421121,0.058255826185267257
10-14,Male,2004,15,9,1.8504468829222255e-5,1.665402194630003e-4
15-19,Female,2004,15,14,0.31395788223895293,4.395410351345341
15-19,Male,2004,15,81.5,0.07809426034160981,6.3646822178411995
20-24,Female,2004,15,19,0.9749791346730668,18.52460355878827
20-24,Male,2004,15,168,0.4851573556965432,81.50643575701926
25-29,Female,2004,15,18,1.6558458982790834,29.8052261690235
25-29,Male,2004,15,143,1.1283572037357443,161.35508013421145
30-34,Female,2004,15,18,2.114275510231122,38.05695918416019
30-34,Male,2004,15,112,1.7396391413634866,194.8395838327105
35-39,Female,2004,15,22,1.9723672227632318,43.3920789007911
35-39,Male,2004,15,106,2.0506146184413407,217.3651495547821
40-44,Female,2004,15,34,1.3797941535553409,46.91300122088159
40-44,Male,2004,15,107,1.800801481992327,192.685758573179
45-49,Female,2004,15,50,0.7703565572569344,38.51782786284672
45-49,Male,2004,15,120.5,1.2878495763562823,155.185873950932
50-54,Male,2004,15,140,0.7897348228542567,110.56287519959594
50-66,Female,2004,15,443,0.12751751841402706,56.490260657413984
55-59,Male,2004,15,164,0.4303102114463304,70.57087467719819
60-76,Male,2004,15,1308,0.09373066063426078,122.5997041096131
