dep_name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Meta,492.8710840706112,429.85612905597816,449.22616514282595,447.0788535816121,432.8413113548059,436.0451722145994,457.44670161676595,437.67388403138807,425.1133700277211,430.6510462235377,399.8458549733695,438.34452247848935,420.88835241450784,384.327312660906,405.5690097787252,396.4182979035062,489.8472425029734,629.9929117491765
Nariño,427.7665017194121,393.8313301128599,403.90071203412475,418.4719927404752,395.01208270982875,448.19302569979084,433.16017654576984,409.79772693440714,409.54250191864656,442.5839615721867,399.22672844210217,443.26037800356926,428.30693741836063,422.1374482177421,453.853292767228,438.783659011833,596.0371758571433,715.0905278926052
Norte de Santander,468.1908753473865,445.6790470248609,461.07550822227336,443.7547995462959,433.6771773368547,472.85608914186133,453.1323061906349,425.27661593253936,429.51141838593475,445.5121811127882,408.9009777991404,430.8950383067837,427.8865008784568,424.413223987071,456.2146563080942,444.89328147118704,611.0160646424561,687.5320353560285
Quindío,580.0418880988453,591.8356984469132,558.5685197825054,587.53765009875,550.4136304921116,587.2141628497814,571.4197314829373,573.4690527411307,552.5914325662159,544.9078211899619,541.0684917649793,572.1837892832996,587.8846838131774,532.1026163828434,540.4993366293373,512.0801988435567,614.0239578064351,767.4770907405477
Risaralda,641.1254018288004,613.5650562590874,577.7644788045469,593.3317307440497,578.9391379064447,576.050779234336,560.6299715710218,521.3610083254852,523.4340388944324,504.9399983597111,486.52064412109826,523.186663860658,506.19702100168297,479.20766679039275,484.45945709238686,476.929764390367,564.8097281982483,717.9552404938411
Santander,470.019364871375,433.13625785976507,441.5498061313889,438.98372051225175,433.5398351676228,449.1488049683923,445.12200840116304,419.40628706574165,416.226268681442,432.95243819898013,407.7477326537193,439.8371636990305,417.86696996114057,403.48251895788326,419.3304822224854,411.57346932716166,541.2242641855468,716.8034866292702
Sucre,418.1820647091234,383.40436194814976,393.9522114012593,401.4571962385443,381.34058852792737,428.5014215916445,413.0014988746786,386.66194078338026,393.8112354675186,434.0258725057709,376.87481650439815,430.68626383422907,415.25681767568165,409.16886327580306,446.6622264104557,433.70928362380727,591.5060481320211,699.2480920424279
Tolima,483.2055847908121,457.1098631671751,454.30464966592484,456.27887115441695,433.98778098620267,460.4063568103188,460.05974479664934,435.9335811452602,431.00743494371625,439.35506793512974,403.5975999782384,437.02166588304783,428.97407098478544,412.2273516138939,426.48576402640157,420.7711770729526,532.3266897541001,692.3581657977858
Valle del Cauca,585.7888497943445,548.6278830338523,532.0659406048445,524.816373021703,490.48280200829066,514.7070954622811,493.737834774477,487.4905816186745,466.2329093012326,462.9335451875063,426.098193116333,447.326412055724,426.51290772747444,403.521204886237,416.4205901613163,414.92721265211765,466.1303054173588,604.755801313657
Arauca,530.2610385461625,451.48838983110215,451.2913845388271,492.087250013279,472.9226866607635,478.22969902749077,479.57285262108553,425.7334813356523,420.1543307277973,493.00431516767037,449.0341133531187,423.0915062803129,419.89580729608923,402.25719010591894,433.130846045783,450.2893854765309,526.964611023308,641.9481098351008
Casanare,368.7815595797943,316.7737922983052,317.5485549032964,338.60196304906356,332.1500974795856,345.4869512664958,349.9008486245188,338.20923052405186,328.9055095862501,339.39301647053327,321.6972701489039,351.14826235683915,340.8166011990681,330.4643531364234,347.4552599951192,354.1298260573703,449.83473771008414,642.5181424716679
Putumayo,347.83336565377425,316.23717651346897,317.06128874038893,342.5975531368551,309.20759242636825,346.9930029364019,349.0590529117115,334.8183225774379,327.41249964990476,369.63034097995126,340.20082427249474,359.5850403629356,346.49498257301985,412.627117667282,392.20741380236234,361.78851454921806,500.3508476296059,617.9872715589971
"Archipelago de San Andrés, Providencia y Santa Catalina",478.47787130647197,449.09855398477754,419.2834462376464,435.9320241554356,435.9810258993137,436.47471465918954,432.04827204829274,428.0822152139181,401.5726078312976,410.7622889584127,380.5452595240804,411.0047839080239,404.78379901848314,386.0889761638936,380.12196844462693,365.1331232234778,473.86150268850406,630.7784592010731
Amazonas,264.05055488741476,246.6823720431482,250.48203302065787,247.79955474539116,240.76839351538433,287.36429746094956,256.1150578275058,229.48784214890202,230.53348985568735,266.22669538276347,238.22860642409125,323.8712013192623,235.0301904914827,232.96432501721833,273.738936067487,271.8510013478377,523.1316434370835,565.6339363513814
Guainía,228.95882788739422,239.36715476093624,196.6581199355387,228.30543634047785,159.96430582590065,218.81961332694894,207.3517413330068,182.91889886640004,179.56250805837527,215.6575175926734,190.30446384178597,201.09350446898017,210.92644267453974,194.9198719812949,242.18085632463635,221.5072211348819,340.22157554031634,360.17205125102197
Guaviare,510.9876023067482,481.74407836462166,482.9252624387491,437.30559917776554,417.40243047653723,537.8406192033589,444.08805876434104,371.39819578536833,396.7016207241809,421.7778761318039,322.7563853696624,327.9226872545931,333.2415033952401,360.7682623219677,369.92269888511595,410.4139307304676,466.01801124129776,579.3953788265235
Vaupés,201.1190793650696,160.7408378714859,209.16071518252622,172.32688602525965,150.72956694962497,225.4077239858307,184.18944097985366,168.5635524751497,162.81822455454915,187.38392971356853,144.26473096537265,171.30716998605132,159.29229028782103,151.74822027056564,202.58443954526706,192.48474986217923,272.0115418536458,281.16823551345675
Vichada,342.7657050327041,277.5372975101994,301.2032054797621,335.2850949027763,298.998312698583,352.15575713758534,311.83355986369696,271.9068922407936,278.9511238196115,359.5384931898229,287.3461807642262,337.5163625611101,323.23078199094374,321.8074790539852,385.6359566976459,349.8631318578048,540.8449223570527,579.0991973744369
